Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-05-04,3.54,3.67,3.54,3.6,8688477.0,0.0,1.0,3.54,3.67,3.54,3.6,8688477.0
2016-05-03,3.7,3.71,3.58,3.6,13784844.0,0.0,1.0,3.7,3.71,3.58,3.6,13784844.0
2016-05-02,3.58,3.75,3.57,3.74,16972770.0,0.0,1.0,3.58,3.75,3.57,3.74,16972770.0
2016-04-29,3.69,3.69,3.45,3.55,17717828.0,0.0,1.0,3.69,3.69,3.45,3.55,17717828.0
2016-04-28,3.69,3.8,3.6,3.61,20230013.0,0.0,1.0,3.69,3.8,3.6,3.61,20230013.0
2016-04-27,3.55,3.75,3.53,3.73,24186756.0,0.0,1.0,3.55,3.75,3.53,3.73,24186756.0
2016-04-26,3.45,3.75,3.44,3.66,36336919.0,0.0,1.0,3.45,3.75,3.44,3.66,36336919.0
2016-04-25,3.81,3.82,3.31,3.45,80607909.0,0.0,1.0,3.81,3.82,3.31,3.45,80607909.0
2016-04-22,3.19,3.99,3.18,3.99,143265305.0,0.0,1.0,3.19,3.99,3.18,3.99,143265305.0
2016-04-21,2.65,2.7,2.6,2.62,13957207.0,0.0,1.0,2.65,2.7,2.6,2.62,13957207.0
2016-04-20,2.62,2.72,2.61,2.7,7926104.0,0.0,1.0,2.62,2.72,2.61,2.7,7926104.0
2016-04-19,2.78,2.78,2.61,2.62,11719940.0,0.0,1.0,2.78,2.78,2.61,2.62,11719940.0
2016-04-18,2.67,2.8,2.65,2.76,8938814.0,0.0,1.0,2.67,2.8,2.65,2.76,8938814.0
2016-04-15,2.72,2.75,2.68,2.7,7487498.0,0.0,1.0,2.72,2.75,2.68,2.7,7487498.0
2016-04-14,2.77,2.79,2.7,2.72,8985330.0,0.0,1.0,2.77,2.79,2.7,2.72,8985330.0
2016-04-13,2.78,2.82,2.73,2.8,8047980.0,0.0,1.0,2.78,2.82,2.73,2.8,8047980.0
2016-04-12,2.79,2.85,2.76,2.81,16131946.0,0.0,1.0,2.79,2.85,2.76,2.81,16131946.0
2016-04-11,2.76,2.82,2.74,2.76,9045056.0,0.0,1.0,2.76,2.82,2.74,2.76,9045056.0
2016-04-08,2.7,2.76,2.68,2.74,8489046.0,0.0,1.0,2.7,2.76,2.68,2.74,8489046.0
2016-04-07,2.76,2.83,2.61,2.64,13479207.0,0.0,1.0,2.76,2.83,2.61,2.64,13479207.0
2016-04-06,2.75,2.8,2.72,2.8,12534644.0,0.0,1.0,2.75,2.8,2.72,2.8,12534644.0
2016-04-05,2.76,2.84,2.72,2.76,9640183.0,0.0,1.0,2.76,2.84,2.72,2.76,9640183.0
2016-04-04,2.83,2.87,2.8,2.83,5591055.0,0.0,1.0,2.83,2.87,2.8,2.83,5591055.0
2016-04-01,2.79,2.88,2.76,2.83,8257676.0,0.0,1.0,2.79,2.88,2.76,2.83,8257676.0
2016-03-31,2.84,2.88,2.8,2.85,9071495.0,0.0,1.0,2.84,2.88,2.8,2.85,9071495.0
2016-03-30,2.88,2.98,2.85,2.86,14945925.0,0.0,1.0,2.88,2.98,2.85,2.86,14945925.0
2016-03-29,2.74,2.88,2.7,2.86,13616186.0,0.0,1.0,2.74,2.88,2.7,2.86,13616186.0
2016-03-28,2.81,2.84,2.73,2.78,7683731.0,0.0,1.0,2.81,2.84,2.73,2.78,7683731.0
2016-03-24,2.69,2.81,2.62,2.79,10040161.0,0.0,1.0,2.69,2.81,2.62,2.79,10040161.0
2016-03-23,2.8,2.825,2.68,2.68,10167129.0,0.0,1.0,2.8,2.825,2.68,2.68,10167129.0
2016-03-22,2.73,2.85,2.71,2.79,10315800.0,0.0,1.0,2.73,2.85,2.71,2.79,10315800.0
2016-03-21,2.9,2.9,2.75,2.8,13464942.0,0.0,1.0,2.9,2.9,2.75,2.8,13464942.0
2016-03-18,2.8,2.93,2.77,2.93,26330503.0,0.0,1.0,2.8,2.93,2.77,2.93,26330503.0
2016-03-17,2.77,2.81,2.7,2.8,29000838.0,0.0,1.0,2.77,2.81,2.7,2.8,29000838.0
2016-03-16,2.5,2.64,2.49,2.63,13015657.0,0.0,1.0,2.5,2.64,2.49,2.63,13015657.0
2016-03-15,2.67,2.69,2.45,2.49,21573551.0,0.0,1.0,2.67,2.69,2.45,2.49,21573551.0
2016-03-14,2.53,2.75,2.5,2.72,33848017.0,0.0,1.0,2.53,2.75,2.5,2.72,33848017.0
2016-03-11,2.29,2.54,2.29,2.52,21382383.0,0.0,1.0,2.29,2.54,2.29,2.52,21382383.0
2016-03-10,2.29,2.31,2.15,2.26,9625514.0,0.0,1.0,2.29,2.31,2.15,2.26,9625514.0
2016-03-09,2.32,2.35,2.2,2.26,13082444.0,0.0,1.0,2.32,2.35,2.2,2.26,13082444.0
2016-03-08,2.44,2.46,2.3,2.3,9400240.0,0.0,1.0,2.44,2.46,2.3,2.3,9400240.0
2016-03-07,2.36,2.47,2.36,2.47,8801832.0,0.0,1.0,2.36,2.47,2.36,2.47,8801832.0
2016-03-04,2.42,2.5,2.34,2.37,15448987.0,0.0,1.0,2.42,2.5,2.34,2.37,15448987.0
2016-03-03,2.32,2.55,2.295,2.46,22092400.0,0.0,1.0,2.32,2.55,2.295,2.46,22092400.0
2016-03-02,2.2,2.33,2.18,2.32,10845691.0,0.0,1.0,2.2,2.33,2.18,2.32,10845691.0
2016-03-01,2.16,2.2,2.12,2.18,9011185.0,0.0,1.0,2.16,2.2,2.12,2.18,9011185.0
2016-02-29,2.06,2.15,2.05,2.14,11400321.0,0.0,1.0,2.06,2.15,2.05,2.14,11400321.0
